algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_observed,0.08164133521276379,0.015315315315315315,0.034405834405834404,0.005148005148005148,10
itemknn,cm100k_observed,0.06537102965674395,0.012741312741312742,0.02683397683397683,0.00398970398970399,10
listrankmf,cm100k_observed,0.06726879941165655,0.011840411840411841,0.02436722436722437,0.0036036036036036032,10
randomguess,cm100k_observed,0.008783783783783784,0.0019305019305019305,0.008193908193908193,0.001287001287001287,10
slim,cm100k_observed,0.02965367965367965,0.006821106821106822,0.01847204347204347,0.0032175032175032173,10
svdpp,cm100k_observed,0.04155328798185941,0.007850707850707852,0.013931788931788931,0.0020592020592020595,10
ranksgd,cm100k_observed,0.04973340687626402,0.008494208494208495,0.02572930072930073,0.0037323037323037326,10
userknn,cm100k_observed,0.05357806786378214,0.010424710424710425,0.02425997425997426,0.004247104247104247,10
smootheditemaverage,cm100k_observed,0.002767052767052767,0.0007722007722007723,0.0044330044330044335,0.0007722007722007723,10
optimalobservedprecision,cm100k_observed,0.07473442830585689,0.014285714285714285,0.02822822822822823,0.004375804375804376,10
optimalobservedantiprecision,cm100k_observed,0.003796653796653797,0.0007722007722007723,0.0029386529386529383,0.0006435006435006435,10
optimaltrueprecision,cm100k_observed,0.09202876345733488,0.01673101673101673,0.0358000858000858,0.005405405405405405,10
optimaltrueantiprecision,cm100k_observed,0.003870753870753871,0.000900900900900901,0.0,0.0,10
optimaltrueprecisionrestricted,cm100k_observed,0.00921180921180921,0.002445302445302445,0.0,0.0,10
optimaltrueantiprecisionrestricted,cm100k_observed,0.003870753870753871,0.000900900900900901,0.0,0.0,10
pnmf,cm100k_observed,0.04603327817613531,0.008880308880308881,0.030405405405405407,0.0045045045045045045,10
eals,cm100k_observed,0.010684199969914257,0.003088803088803089,0.010017160017160017,0.0015444015444015444,10
gbpr,cm100k_observed,0.05023901452472882,0.009266409266409266,0.030823680823680824,0.005019305019305019,10
plsa,cm100k_observed,0.050600600600600606,0.00990990990990991,0.0219004719004719,0.003861003861003861,10
bpoissmf,cm100k_observed,0.0028794100222671653,0.0010296010296010297,0.0017160017160017158,0.00025740025740025744,10
wrmf,cm100k_observed,0.052525995383138235,0.010296010296010296,0.029268554268554268,0.004375804375804376,10
wbpr,cm100k_observed,0.038044677330391616,0.007722007722007722,0.026018876018876015,0.004375804375804376,10
