algorithm,dataset,recall,precision,fallout,antiprecision,cutoff
mostpopular,cm100k_true,0.023116856025633438,0.011764705882352943,0.004141198021549983,0.006261859582542695,10
itemknn,cm100k_true,0.018204537439656783,0.010721062618595826,0.0047414899451369685,0.007210626185958254,10
listrankmf,cm100k_true,0.023837737948952196,0.010531309297912714,0.004723239636388349,0.006831119544592031,10
randomguess,cm100k_true,0.011143115307077154,0.006356736242884251,0.008449909763121067,0.01233396584440228,10
slim,cm100k_true,0.012821771881369404,0.008254269449715369,0.007402935208750565,0.010721062618595826,10
svdpp,cm100k_true,0.01709527680533755,0.00967741935483871,0.0049781016116905415,0.007115749525616698,10
ranksgd,cm100k_true,0.02180893996065156,0.009962049335863378,0.007065235721386179,0.009962049335863378,10
userknn,cm100k_true,0.01604943711093217,0.009392789373814043,0.006115459428886947,0.009108159392789375,10
smootheditemaverage,cm100k_true,0.009864924585163274,0.004933586337760911,0.007637442886934086,0.011195445920303606,10
optimalobservedprecision,cm100k_true,0.021439833731222574,0.011195445920303606,0.00356814303074542,0.005502846299810247,10
optimalobservedantiprecision,cm100k_true,0.008176713429384957,0.004933586337760911,0.01036906161970656,0.014705882352941176,10
optimaltrueprecision,cm100k_true,0.02879588713522981,0.014990512333965846,0.003281959874256576,0.005407969639468691,10
optimaltrueantiprecision,cm100k_true,0.021638186582068356,0.01110056925996205,0.001772223011501336,0.0027514231499051237,10
optimaltrueprecisionrestricted,cm100k_true,0.02603969676169199,0.012808349146110056,0.0017761388747122,0.0027514231499051237,10
optimaltrueantiprecisionrestricted,cm100k_true,0.02603969676169199,0.012808349146110056,0.0017761388747122,0.0027514231499051237,10
pnmf,cm100k_true,0.01393554336933826,0.008444022770398482,0.00580622423768214,0.008444022770398482,10
eals,cm100k_true,0.010091822355879082,0.0051233396584440235,0.00761276911476441,0.011005692599620495,10
gbpr,cm100k_true,0.01697942390373113,0.008918406072106264,0.007354980016386556,0.009392789373814043,10
plsa,cm100k_true,0.019376779037029536,0.010531309297912713,0.005525392089629999,0.00872865275142315,10
bpoissmf,cm100k_true,0.011554367295653623,0.005882352941176471,0.007286136407784339,0.010531309297912713,10
wrmf,cm100k_true,0.01804988478625251,0.009962049335863378,0.00574835571932696,0.008918406072106264,10
wbpr,cm100k_true,0.014389536941153662,0.008254269449715369,0.006799480913822807,0.009867172675521821,10
